Sale Date,Item Name,Quantity,Price,Coupon Code,Coupon Details,Discount Amount,Shipping Discount,Order Shipping,Order Sales Tax,Item Total,Currency,Transaction ID,Listing ID,Date Paid,Date Shipped,Order ID,Order Type,Listings Type,Payment Type,VAT Paid by Buyer
06/20/24,401K Savings Plan Dashboard | Google Sheets | Purple Theme | Up to 20 Plans,1,13.99,2024JUN;2024JUN;2024JUN;2024JUN,2024JUN - % off;2024JUN - % off;2024JUN - % off;2024JUN - % off,11.75,0.00,0,0,13.99,USD,4141838007,1606882656,06/20/2024,06/20/2024,3339778510,online,listing,online_cc,0
06/20/24,5K Savings Challenge | Google Sheets | Rose Pink,1,5.00,2024JUN;2024JUN;2024JUN;2024JUN,2024JUN - % off;2024JUN - % off;2024JUN - % off;2024JUN - % off,0,0,0,0,5,USD,4141838005,1553747929,06/20/2024,06/20/2024,3339778510,online,listing,online_cc,0
06/20/24,Debt Payoff Dashboard | Google Sheets | Beige,1,13.00,2024JUN;2024JUN;2024JUN;2024JUN,2024JUN - % off;2024JUN - % off;2024JUN - % off;2024JUN - % off,0,0,0,0,13,USD,4141838003,1534077963,06/20/2024,06/20/2024,3339778510,online,listing,online_cc,0
06/20/24,Savings Garden Dashboard | Google Sheets | 4 Color Modes | Grow and Harvest your Sinking Funds,1,14.99,2024JUN;2024JUN;2024JUN;2024JUN,2024JUN - % off;2024JUN - % off;2024JUN - % off;2024JUN - % off,0,0,0,0,14.99,USD,4140701294,1551444910,06/20/2024,06/20/2024,3339778510,online,listing,online_cc,0
06/20/24,Simple 50/30/20 Budget Dashboard | Google Sheets | Capybara Theme,1,14.99,2024JUN,2024JUN - % off,3.75,0.00,0,0,14.99,USD,4141788047,1509795619,06/20/2024,06/20/2024,3339737098,online,listing,online_cc,0
06/14/24,Zero Based Budget and Bill Calendar | Google Sheets | Warm Theme | Assign every dollar a Purpose | ADHD Budget,1,11.99,2024JUN,2024JUN - % off,3.00,0.00,0,0,11.99,USD,4134355901,1679116778,06/14/2024,06/14/2024,3327633487,online,listing,online_cc,0
06/11/24,Simple 50/30/20 Budget Dashboard | Google Sheets,1,14.99,2024JUN,2024JUN - % off,3.75,0.00,0,0,14.99,USD,4129241152,1496810190,06/11/2024,06/11/2024,3324486589,online,listing,online_cc,0
06/05/24,Monthly and Annual Dashboard | Google Sheets | 9 Color Modes | Coffee Theme,1,17.99,2024JUN,2024JUN - % off,4.50,0.00,0,0,17.99,USD,4122703189,1544664888,06/05/2024,06/05/2024,3318731963,online,listing,online_cc,0
06/03/24,Debt Payoff Dashboard | Google Sheets | Beige,1,13.00,2024JUN,2024JUN - % off,3.25,0.00,0,0,13,USD,4119527392,1534077963,06/03/2024,06/03/2024,3317021143,online,listing,online_cc,0
06/03/24,Blueberry Theme Travels Planning Dashboard | Google Sheets | Your Travel Companion | Research and Track all Your Trips,1,15.99,HAPPYPLANNER40,HAPPYPLANNER40 - % off,6.40,0.00,0,0,15.99,USD,4118448002,1718656531,06/03/2024,06/03/2024,3322009046,online,listing,online_cc,0
